id,product_name,energy_kcal_100g
1,Шпинат тушеный с чесноком,45
2,Брокколи на пару с лимонным соком,38
3,Цветная капуста запеченная с травами,42
4,Брюссельская капуста с бальзамиком,48
5,Тушеная капуста с яблоком,52
6,Суп-пюре из сельдерея и картофеля,58
7,Салат из огурцов и помидоров с зеленью,35
8,Салат Греческий,128
9,Фаршированные перцы с овощами,89
10,Морковный салат с изюмом,65
11,Салат из свеклы с черносливом,82
12,Кабачковая икра,54
13,Тыквенная каша с пшеном,78
14,Спаржа на гриле с яйцом пашот,92
15,Артишоки отварные с соусом из йогурта,76
16,Салат из рукколы с грушей и орехами,145
17,Салат Цезарь легкий с курицей,184
18,Суп гаспачо из помидоров,45
19,Крем-суп из брокколи,52
20,Овощное рагу с кабачками,63
21,Имбирный чай с медом и лимоном,35
22,Зеленый смузи,75
23,Ягодный смузи с кефиром,82
24,Грейпфрутовый фреш,42
25,Киви с творогом,95
26,Малиновый йогурт,88
27,Черника с греческим йогуртом,94
28,Клубника с рикоттой,105
29,Ежевичный десерт с чиа,120
30,Гранатовый сок,83
31,Авокадо тост с яйцом,230
32,Киноа салат с овощами и фетой,156
33,Чечевичный суп,89
34,Суп из нута с овощами,102
35,Стручковая фасоль с грибами,67
36,Тофу с овощами в соевом соусе,98
37,Темпе с овощами на гриле,145
38,Грибы шампиньоны фаршированные,92
39,Вешенки тушеные в сметане,108
40,Зеленый чай с жасмином,1
41,Имбирный лимонад,28
42,Огуречная вода с мятой,8
43,Кефирный смузи с огурцом и укропом,52
44,Греческий йогурт с медом,89
45,Творожная запеканка с ягодами,135
46,Треска запеченная с лимоном,104
47,Куриная грудка с овощами на пару,142
48,Индейка в йогуртовом соусе,156
49,Омлет с шампиньонами и зеленью,132
50,Салат из морской капусты с яйцом,76
51,Морковный крем-суп с имбирем,65
52,Свекольник холодный,48
53,Сельдереевый суп-пюре,41
54,Овощной смузи с авокадо,95
55,Зеленый коктейль с киви и шпинатом,68
56,Овсяная каша с фруктами,92
57,Гречка с грибами и луком,112
58,Салат из киноа с авокадо,148
59,Овощной суп-пюре из тыквы,54
60,Тыквенный суп с кокосовым молоком,89
61,Мисо-суп с тофу и водорослями,46
62,Рыба на пару с брокколи,108
63,Куриные тефтели на пару,134
64,Омлет с помидорами и перцем,118
65,Тушеные овощи с тофу в томатном соусе,92
66,Салат Витаминный,45
67,Кабачковые оладьи,89
68,Тыквенные оладьи,94
69,Спагетти из цукини с соусом песто,78
70,Овощные котлеты из брокколи,103
71,Крем-суп из цветной капусты,61
72,Салат из свеклы с козьим сыром,125
73,Фаршированные кабачки,87
74,Перец фаршированный овощами и рисом,96
75,Баклажаны запеченные с томатами,65
